run,algorithm,array_size,execution_time_ms,memory_usage_kb,comparison_count
86,Heap Sort,1000,25.167,8.168,16862
87,Heap Sort,1000,25.316,8.168,16929
88,Heap Sort,1000,24.708,8.168,16839
89,Heap Sort,1000,24.927,8.168,16829
90,Heap Sort,1000,24.438,8.168,16817
91,Heap Sort,1000,24.459,8.168,16872
92,Heap Sort,1000,24.933,8.168,16827
93,Heap Sort,1000,25.128,8.168,16861
94,Heap Sort,1000,25.078,8.168,16843
95,Heap Sort,1000,25.286,8.168,16889
96,Heap Sort,1000,24.724,8.168,16849
97,Heap Sort,1000,24.856,8.168,16825
98,Heap Sort,1000,25.192,8.168,16847
99,Heap Sort,1000,24.556,8.168,16811
100,Heap Sort,1000,25.079,8.168,16844
1,Odd-Even Sort,1000,1883.515,8.538,487512
2,Odd-Even Sort,1000,1897.181,8.059,484515
3,Odd-Even Sort,1000,1931.877,8.059,491508
4,Odd-Even Sort,1000,1867.761,8.059,480519
5,Odd-Even Sort,1000,1854.3,8.059,481518
6,Odd-Even Sort,1000,1900.615,8.059,494505
7,Odd-Even Sort,1000,1878.56,8.059,478521
8,Odd-Even Sort,1000,1894.547,8.059,486513
9,Odd-Even Sort,1000,1916.326,8.059,485514
10,Odd-Even Sort,1000,1875.181,8.059,485514
11,Odd-Even Sort,1000,1887.8,8.059,482517
12,Odd-Even Sort,1000,1936.489,8.059,489510
13,Odd-Even Sort,1000,1891.097,8.059,485514
14,Odd-Even Sort,1000,1906.119,8.059,481518
15,Odd-Even Sort,1000,1892.923,8.059,493506
16,Odd-Even Sort,1000,1900.677,8.059,471528
17,Odd-Even Sort,1000,1931.212,8.059,495504
18,Odd-Even Sort,1000,1913.208,8.059,486513
19,Odd-Even Sort,1000,1880.616,8.059,474525
20,Odd-Even Sort,1000,1877.073,8.059,484515
21,Odd-Even Sort,1000,1873.5,8.059,485514
22,Odd-Even Sort,1000,1853.168,8.059,492507
23,Odd-Even Sort,1000,1905.468,8.059,494505
24,Odd-Even Sort,1000,1842.968,8.059,474525
25,Odd-Even Sort,1000,1920.515,8.059,482517
26,Odd-Even Sort,1000,1902.237,8.059,488511
27,Odd-Even Sort,1000,1884.001,8.059,484515
28,Odd-Even Sort,1000,1902.645,8.059,494505
29,Odd-Even Sort,1000,1874.352,8.059,491508
30,Odd-Even Sort,1000,1942.118,8.059,494505
31,Odd-Even Sort,1000,1815.244,8.059,481518
32,Odd-Even Sort,1000,1864.153,8.059,485514
33,Odd-Even Sort,1000,1917.814,8.059,484515
34,Odd-Even Sort,1000,1887.527,8.059,499500
35,Odd-Even Sort,1000,1940.261,8.059,490509
36,Odd-Even Sort,1000,1899.871,8.059,490509
37,Odd-Even Sort,1000,1895.846,8.059,487512
38,Odd-Even Sort,1000,1879.128,8.059,489510
39,Odd-Even Sort,1000,1894.017,8.059,488511
40,Odd-Even Sort,1000,1889.684,8.059,484515
41,Odd-Even Sort,1000,1900.832,8.059,487512
42,Odd-Even Sort,1000,1866.124,8.059,481518
43,Odd-Even Sort,1000,1837.718,8.059,483516
44,Odd-Even Sort,1000,1865.726,8.059,490509
45,Odd-Even Sort,1000,1874.763,8.059,487512
46,Odd-Even Sort,1000,1923.077,8.059,493506
47,Odd-Even Sort,1000,1834.864,8.059,475524
48,Odd-Even Sort,1000,1895.081,8.059,488511
49,Odd-Even Sort,1000,1895.227,8.059,484515
50,Odd-Even Sort,1000,1912.524,8.059,483516
51,Odd-Even Sort,1000,1930.537,8.059,496503
52,Odd-Even Sort,1000,1873.669,8.059,492507
53,Odd-Even Sort,1000,1860.958,8.059,492507
54,Odd-Even Sort,1000,1888.751,8.059,492507
55,Odd-Even Sort,1000,1894.22,8.059,497502
56,Odd-Even Sort,1000,1899.471,8.059,486513
57,Odd-Even Sort,1000,1862.603,8.059,492507
58,Odd-Even Sort,1000,1915.746,8.059,498501
59,Odd-Even Sort,1000,1886.464,8.059,489510
60,Odd-Even Sort,1000,1832.467,8.059,476523
61,Odd-Even Sort,1000,1886.67,8.059,484515
62,Odd-Even Sort,1000,1900.311,8.059,484515
63,Odd-Even Sort,1000,1840.78,8.059,470529
64,Odd-Even Sort,1000,1876.592,8.059,478521
65,Odd-Even Sort,1000,1891.526,8.059,491508
66,Odd-Even Sort,1000,1972.677,8.059,486513
67,Odd-Even Sort,1000,1939.538,8.059,493506
68,Odd-Even Sort,1000,1914.963,8.059,499500
69,Odd-Even Sort,1000,1882.808,8.059,483516
70,Odd-Even Sort,1000,1865.133,8.059,495504
71,Odd-Even Sort,1000,1910.482,8.059,494505
72,Odd-Even Sort,1000,1936.625,8.059,484515
73,Odd-Even Sort,1000,1828.295,8.059,480519
74,Odd-Even Sort,1000,1865.869,8.059,489510
75,Odd-Even Sort,1000,1854.264,8.059,480519
76,Odd-Even Sort,1000,1923.663,8.059,489510
77,Odd-Even Sort,1000,1912.315,8.059,488511
78,Odd-Even Sort,1000,1890.032,8.059,485514
79,Odd-Even Sort,1000,1906.841,8.059,488511
80,Odd-Even Sort,1000,1907.784,8.059,492507
81,Odd-Even Sort,1000,1873.118,8.059,483516
82,Odd-Even Sort,1000,1865.368,8.059,484515
83,Odd-Even Sort,1000,1983.188,8.059,498501
84,Odd-Even Sort,1000,1900.825,8.059,496503
85,Odd-Even Sort,1000,1889.76,8.059,494505
86,Odd-Even Sort,1000,1898.564,8.059,492507
87,Odd-Even Sort,1000,1870.072,8.059,480519
88,Odd-Even Sort,1000,1902.938,8.059,490509
89,Odd-Even Sort,1000,1898.248,8.059,493506
90,Odd-Even Sort,1000,1918.178,8.059,495504
91,Odd-Even Sort,1000,1894.819,8.059,482517
92,Odd-Even Sort,1000,1896.044,8.059,486513
93,Odd-Even Sort,1000,1882.593,8.059,480519
94,Odd-Even Sort,1000,1880.357,8.059,487512
95,Odd-Even Sort,1000,1870.358,8.059,493506
96,Odd-Even Sort,1000,1838.428,8.059,483516
97,Odd-Even Sort,1000,1916.171,8.059,497502
98,Odd-Even Sort,1000,1924.387,8.059,497502
99,Odd-Even Sort,1000,1859.248,8.059,476523
100,Odd-Even Sort,1000,1923.376,8.059,494505
1,Bucket Sort,1000,11.532,98.88,546
2,Bucket Sort,1000,10.888,95.359,503
3,Bucket Sort,1000,9.34,95.291,497
4,Bucket Sort,1000,9.237,95.617,494
5,Bucket Sort,1000,8.876,94.68,515
6,Bucket Sort,1000,8.995,94.898,511
7,Bucket Sort,1000,8.913,95.211,503
8,Bucket Sort,1000,8.705,94.773,494
9,Bucket Sort,1000,9.025,95.367,546
10,Bucket Sort,1000,8.811,94.711,483
11,Bucket Sort,1000,8.928,95.148,548
12,Bucket Sort,1000,11.559,95.773,475
13,Bucket Sort,1000,13.642,95.398,504
14,Bucket Sort,1000,9.434,94.43,483
15,Bucket Sort,1000,12.336,93.805,549
16,Bucket Sort,1000,12.921,94.898,495
17,Bucket Sort,1000,10.675,95.617,474
18,Bucket Sort,1000,11.847,95.273,507
19,Bucket Sort,1000,13.716,95.273,504
20,Bucket Sort,1000,9.083,94.992,473
21,Bucket Sort,1000,9.15,94.836,538
22,Bucket Sort,1000,9.128,95.461,531
23,Bucket Sort,1000,8.85,95.023,485
24,Bucket Sort,1000,9.117,95.055,487
25,Bucket Sort,1000,8.857,94.836,547
26,Bucket Sort,1000,8.668,94.961,534
27,Bucket Sort,1000,8.846,95.086,518
28,Bucket Sort,1000,8.856,94.492,510
29,Bucket Sort,1000,8.9,95.336,495
30,Bucket Sort,1000,8.954,95.43,508
31,Bucket Sort,1000,8.808,95.492,508
32,Bucket Sort,1000,8.714,95.086,544
33,Bucket Sort,1000,9.02,95.648,493
34,Bucket Sort,1000,8.785,95.273,475
35,Bucket Sort,1000,8.741,95.555,501
36,Bucket Sort,1000,8.744,95.336,494
37,Bucket Sort,1000,8.819,94.461,520
38,Bucket Sort,1000,8.64,95.93,456
39,Bucket Sort,1000,8.886,96.148,441
40,Bucket Sort,1000,8.806,94.992,533
41,Bucket Sort,1000,9.664,95.867,488
42,Bucket Sort,1000,9.265,95.586,482
43,Bucket Sort,1000,9.547,95.273,485
44,Bucket Sort,1000,9.426,94.898,498
45,Bucket Sort,1000,9.321,95.586,478
46,Bucket Sort,1000,9.275,95.711,495
47,Bucket Sort,1000,9.042,95.023,527
48,Bucket Sort,1000,9.402,95.242,492
49,Bucket Sort,1000,8.824,95.586,501
50,Bucket Sort,1000,8.83,94.68,490
51,Bucket Sort,1000,8.894,96.273,449
52,Bucket Sort,1000,9.059,95.492,492
53,Bucket Sort,1000,8.834,94.867,533
54,Bucket Sort,1000,9.197,94.43,533
55,Bucket Sort,1000,9.316,95.086,524
56,Bucket Sort,1000,8.931,94.492,525
57,Bucket Sort,1000,8.981,95.773,479
58,Bucket Sort,1000,8.809,95.648,492
59,Bucket Sort,1000,9.37,95.586,470
60,Bucket Sort,1000,8.979,95.086,550
61,Bucket Sort,1000,8.749,95.305,492
62,Bucket Sort,1000,8.696,95.43,514
63,Bucket Sort,1000,9.026,93.961,550
64,Bucket Sort,1000,9.101,94.43,535
65,Bucket Sort,1000,9.099,94.555,506
66,Bucket Sort,1000,8.807,95.367,512
67,Bucket Sort,1000,9.027,95.805,481
68,Bucket Sort,1000,8.707,95.273,478
69,Bucket Sort,1000,8.838,95.305,505
70,Bucket Sort,1000,9.312,94.867,506
71,Bucket Sort,1000,8.76,95.711,466
72,Bucket Sort,1000,8.909,95.148,479
73,Bucket Sort,1000,8.843,95.461,484
74,Bucket Sort,1000,8.869,95.117,496
75,Bucket Sort,1000,9.413,95.43,520
76,Bucket Sort,1000,10.834,95.398,503
77,Bucket Sort,1000,9.032,94.586,496
78,Bucket Sort,1000,8.838,95.18,466
79,Bucket Sort,1000,8.872,94.711,512
80,Bucket Sort,1000,8.83,94.805,546
81,Bucket Sort,1000,8.842,94.523,503
82,Bucket Sort,1000,8.878,95.898,478
83,Bucket Sort,1000,8.922,94.211,551
84,Bucket Sort,1000,8.862,95.711,492
85,Bucket Sort,1000,8.87,94.742,499
86,Bucket Sort,1000,9.2,95.43,485
87,Bucket Sort,1000,9.029,95.148,542
88,Bucket Sort,1000,8.929,95.805,470
89,Bucket Sort,1000,8.866,95.805,503
90,Bucket Sort,1000,8.796,94.68,526
91,Bucket Sort,1000,8.877,95.555,502
92,Bucket Sort,1000,8.61,95.148,471
93,Bucket Sort,1000,9.001,95.492,483
94,Bucket Sort,1000,9.032,94.336,524
95,Bucket Sort,1000,9.021,95.805,442
96,Bucket Sort,1000,8.832,95.336,459
97,Bucket Sort,1000,9.051,95.555,465
98,Bucket Sort,1000,8.996,94.898,512
99,Bucket Sort,1000,9.364,94.586,539
100,Bucket Sort,1000,8.86,95.492,483
1,Shell Sort,1000,40.261,8.869,7416
2,Shell Sort,1000,36.514,8.059,7464
3,Shell Sort,1000,34.948,8.059,7121
4,Shell Sort,1000,36.369,8.059,7442
5,Shell Sort,1000,37.409,8.059,7663
6,Shell Sort,1000,35.922,8.059,7382
7,Shell Sort,1000,37.93,8.059,7808
8,Shell Sort,1000,36.067,8.059,7540
9,Shell Sort,1000,37.788,8.059,8072
10,Shell Sort,1000,35.123,8.059,7259
11,Shell Sort,1000,35.763,8.059,7436
12,Shell Sort,1000,34.947,8.059,7264
13,Shell Sort,1000,38.776,8.059,7585
14,Shell Sort,1000,37.846,8.059,7649
15,Shell Sort,1000,34.469,8.059,6974
16,Shell Sort,1000,35.001,8.059,7207
17,Shell Sort,1000,34.902,8.059,7002
18,Shell Sort,1000,34.518,8.059,7164
19,Shell Sort,1000,35.375,8.059,7236
20,Shell Sort,1000,36.362,8.059,7626
21,Shell Sort,1000,37.117,8.059,7745
22,Shell Sort,1000,34.672,8.059,7127
23,Shell Sort,1000,34.92,8.059,7149
24,Shell Sort,1000,36.27,8.059,7550
25,Shell Sort,1000,37.825,8.059,7480
26,Shell Sort,1000,35.188,8.059,7197
27,Shell Sort,1000,36.167,8.059,7211
28,Shell Sort,1000,42.845,8.059,9292
29,Shell Sort,1000,34.162,8.059,6924
30,Shell Sort,1000,36.368,8.059,7339
31,Shell Sort,1000,35.435,8.059,7146
32,Shell Sort,1000,37.937,8.059,7676
33,Shell Sort,1000,35.492,8.059,7286
34,Shell Sort,1000,37.148,8.059,7674
35,Shell Sort,1000,34.638,8.059,7026
36,Shell Sort,1000,34.835,8.059,7127
37,Shell Sort,1000,42.454,8.059,7382
38,Shell Sort,1000,37.949,8.059,7616
39,Shell Sort,1000,35.119,8.059,6947
40,Shell Sort,1000,34.339,8.059,6966
41,Shell Sort,1000,33.103,8.059,6888
42,Shell Sort,1000,42.095,8.059,7307
43,Shell Sort,1000,50.078,8.059,7097
44,Shell Sort,1000,43.007,8.059,7284
45,Shell Sort,1000,34.682,8.059,7153
46,Shell Sort,1000,36.915,8.059,7646
47,Shell Sort,1000,32.729,8.059,6480
48,Shell Sort,1000,38.397,8.059,7909
49,Shell Sort,1000,35.589,8.059,7218
50,Shell Sort,1000,34.663,8.059,7020
51,Shell Sort,1000,36.706,8.059,7584
52,Shell Sort,1000,35.985,8.059,6986
53,Shell Sort,1000,33.836,8.059,6893
54,Shell Sort,1000,37.449,8.059,7833
55,Shell Sort,1000,36.736,8.059,7595
56,Shell Sort,1000,38.002,8.059,7848
57,Shell Sort,1000,36.523,8.059,7439
58,Shell Sort,1000,34.918,8.059,7390
59,Shell Sort,1000,34.097,8.059,6845
60,Shell Sort,1000,36.792,8.059,7547
61,Shell Sort,1000,34.868,8.059,7058
62,Shell Sort,1000,36.917,8.059,7567
63,Shell Sort,1000,37.805,8.059,7766
64,Shell Sort,1000,33.724,8.059,6849
65,Shell Sort,1000,35.096,8.059,7082
66,Shell Sort,1000,34.22,8.059,6889
67,Shell Sort,1000,35.084,8.059,6940
68,Shell Sort,1000,35.963,8.059,7396
69,Shell Sort,1000,36.807,8.059,7311
70,Shell Sort,1000,38.235,8.059,7772
71,Shell Sort,1000,38.201,8.059,7652
72,Shell Sort,1000,36.344,8.059,7375
73,Shell Sort,1000,36.32,8.059,7374
74,Shell Sort,1000,36.813,8.059,7640
75,Shell Sort,1000,35.056,8.059,7218
76,Shell Sort,1000,36.341,8.059,7607
77,Shell Sort,1000,34.081,8.059,6960
78,Shell Sort,1000,36.462,8.059,7392
79,Shell Sort,1000,37.66,8.059,7243
80,Shell Sort,1000,36.886,8.059,7567
81,Shell Sort,1000,36.348,8.059,7488
82,Shell Sort,1000,35.889,8.059,7230
83,Shell Sort,1000,37.932,8.059,7454
84,Shell Sort,1000,38.455,8.059,7921
85,Shell Sort,1000,38.019,8.059,7861
86,Shell Sort,1000,36.922,8.059,7671
87,Shell Sort,1000,35.018,8.059,7162
88,Shell Sort,1000,36.109,8.059,7384
89,Shell Sort,1000,37.536,8.059,7932
90,Shell Sort,1000,39.24,8.059,7990
91,Shell Sort,1000,36.317,8.059,7178
92,Shell Sort,1000,34.521,8.059,6926
93,Shell Sort,1000,35.843,8.059,7324
94,Shell Sort,1000,36.768,8.059,7470
95,Shell Sort,1000,35.45,8.059,7025
96,Shell Sort,1000,38.307,8.059,8073
97,Shell Sort,1000,35.131,8.059,7046
98,Shell Sort,1000,33.216,8.059,6636
99,Shell Sort,1000,35.067,8.059,7047
100,Shell Sort,1000,36.835,8.059,7620
